model,tier,layer,cosine,causal_similarity,causal_projection
base,concept_adjacent,8,-0.04872584911179729,0.553799231199835,335.3417311210567
base,concept_adjacent,10,-0.09064355241833255,-0.4031046416136635,-301.3338575995166
base,concept_adjacent,12,-0.16987933814292774,-0.8327422634219659,-813.3912072204516
base,concept_adjacent,14,-0.18197969887172805,-0.8986810157748476,-976.1563577821897
base,concept_adjacent,16,-0.21630822376348077,-0.8976276201429172,-1155.6318455999246
base,concept_adjacent,18,-0.23111632063984872,-0.927306572126866,-1341.1551477447053
base,concept_adjacent,20,-0.2496591306105256,-0.9293166814029803,-1765.343111802757
base,concept_adjacent,22,-0.24602416819892825,-0.9102353286419512,-2689.5352331122244
base,concept_adjacent,24,-0.4033689665235579,-0.9807571716048293,-5829.676123723242
base,concept_adjacent,27,-0.47527483958750966,-0.9885206233545114,-13789.11928340203
base,weakly_adjacent,0,-0.2132702102890471,-0.18099002619230525,-0.8105183033630539
base,weakly_adjacent,2,-0.07332545427285368,0.6225061329143055,159.06962496040106
base,weakly_adjacent,4,-0.05055967487278394,0.5252787406705108,156.02060535563822
base,weakly_adjacent,6,-0.09790207891492173,0.10247216539572629,50.67906109156467
base,weakly_adjacent,8,-0.04500417484843638,0.532408617831437,311.45261692094203
base,weakly_adjacent,10,-0.08459444773965515,-0.39867183153994107,-283.13437250177753
base,weakly_adjacent,12,-0.1618655096879229,-0.8281367856752928,-799.9098220561123
base,weakly_adjacent,14,-0.17413904062006622,-0.8963024566852046,-989.7475584262423
base,weakly_adjacent,16,-0.19804601232055574,-0.8949706209683683,-1161.8365563323337
base,weakly_adjacent,18,-0.20960158065427095,-0.9250604550346366,-1339.4904882540204
base,weakly_adjacent,20,-0.22220913850702345,-0.9253912279200979,-1713.3073043765712
base,weakly_adjacent,22,-0.2232064223755151,-0.9022423752354193,-2495.9211711687385
base,weakly_adjacent,24,-0.37640727404505014,-0.9763133266355501,-5455.047176312667
base,weakly_adjacent,27,-0.45463783528655766,-0.9878268226630496,-13321.254045668804
base,negated,0,-0.11108502487477381,-0.09026110777904094,-0.4079439508881459
base,negated,2,0.02167860491317697,0.6973700422904733,188.41246266234148
base,negated,4,0.03996863918961026,0.5915506544171811,192.3191925121115
base,negated,6,0.00830140158883296,0.14513639091994218,78.16389626178596
base,negated,8,0.07459744758321904,0.6071741984053298,403.71198547384876
base,negated,10,0.01980338932160521,-0.3742480355604252,-304.9097208425807
base,negated,12,-0.04270929896796588,-0.8158981867746445,-813.4121051889703
base,negated,14,-0.04932677069096826,-0.8814437823620108,-926.3633737106212
base,negated,16,-0.07830054023070261,-0.8829745944580665,-1128.488533260354
base,negated,18,-0.09699274981976487,-0.914236277214276,-1322.2365835906562
base,negated,20,-0.11716477102017961,-0.9110351469165744,-1640.7731352981086
base,negated,22,-0.14781654329388402,-0.9038728922473837,-2615.5515295274263
base,negated,24,-0.32337191960308703,-0.9737388460697938,-5449.172959815479
base,negated,27,-0.4234068617783487,-0.9858641404559125,-13181.071511053919
base,neutral,0,-0.2123212223599798,-0.18197281987543407,-0.8219573574562122
base,neutral,2,-0.062067667404854934,0.6432415449351088,174.66233580678485
base,neutral,4,-0.04265179968439042,0.529355229452506,165.90400155683176
base,neutral,6,-0.08742436814654087,0.10901717219988147,57.60917724571945
base,neutral,8,-0.026417367214869175,0.567385278999058,357.079957823397
base,neutral,10,-0.07757936215560352,-0.3996964596275195,-310.84917349904356
base,neutral,12,-0.16105220423745256,-0.8322971568754249,-851.901077894213
base,neutral,14,-0.17849452504622085,-0.8990984433021838,-1025.3318048160763
base,neutral,16,-0.2115091646462679,-0.8982403658531959,-1199.9197091247888
base,neutral,18,-0.22760050276560442,-0.9280025195680122,-1392.0229468111013
base,neutral,20,-0.24011787258088588,-0.9281077531338353,-1788.093782797183
base,neutral,22,-0.23340827380972248,-0.906478939261529,-2629.8732159372853
base,neutral,24,-0.3875287874681609,-0.9796102112049984,-5705.623139368151
base,neutral,27,-0.466616413806166,-0.9883026489718304,-13813.90735537637
base,_steepness,0,0.38971346762214254,0.37641458414964457,1.6839186504421946
base,_steepness,2,0.3449981385173409,0.14297199720668385,48.82694713974283
base,_steepness,4,0.39830881585599853,0.18010740832152883,63.846410052428865
base,_steepness,6,0.4010427424062176,0.14866257361541005,63.47842587776469
base,_steepness,8,0.41637065135740803,0.12760868449279816,83.84362106905525
base,_steepness,10,0.4035138294968887,0.12667799289891146,101.44457908226082
base,_steepness,12,0.411814550396188,0.07441228159569224,196.14316881915215
base,_steepness,14,0.42101243857144643,0.07717828421728701,304.8396607971347
base,_steepness,16,0.42681783404783347,0.06904343732435192,339.31814856052233
base,_steepness,18,0.4337176729579057,0.06916996425446675,445.56038334079426
base,_steepness,20,0.4922041256516241,0.09078086695155752,740.215605432076
base,_steepness,22,0.4328189468822841,0.05043803947521186,812.1845991598916
base,_steepness,24,0.3815080191274839,0.044185716482344484,2205.0520658025853
base,_steepness,27,0.49411378655915283,0.0740678719120943,6383.600744898543
C2,explicit,0,0.14170705876720605,0.16617892489118824,0.7336000224252177
C2,explicit,2,0.29784585427842103,0.7923012244386242,231.33256929969335
C2,explicit,4,0.348055035766447,0.7114512492722953,214.4402710554579
C2,explicit,6,0.3234784149052575,0.27434225466448603,124.97175744112359
C2,explicit,8,0.38837398633360865,0.7050615108144944,470.7562351595702
