model,position,tier,layer,cosine,causal_similarity,causal_projection
C2,3,neutral,0,-0.12490589520952199,-0.10246043261662771,-0.42114286021682823
C2,3,neutral,8,-0.21500560137210414,-0.8942213797511123,-657.5548139100035
C2,3,neutral,16,-0.22172558208927512,-0.9355622438558896,-1279.710739338576
C2,3,neutral,27,-0.40043340895324947,-0.9865424621500398,-13463.781237084097
C2,4,explicit,0,0.06840482829225948,0.09117037576385244,0.40098906739425044
C2,4,explicit,8,0.045659846374765035,-0.7152426460916307,-396.6945127519447
C2,4,explicit,16,-0.01256896092381794,-0.90757029119272,-950.7333942599548
C2,4,explicit,27,0.031123919375240804,-0.8988343955255894,-7638.595343440309
C2,4,token_adjacent,0,-0.10694701814820291,-0.08181720884424923,-0.3306173275836817
C2,4,token_adjacent,8,-0.2075330113642849,-0.897063583213803,-653.4485910611793
C2,4,token_adjacent,16,-0.22815738657489418,-0.9503789596635869,-1299.991697062044
C2,4,token_adjacent,27,-0.3811403791233897,-0.9857053582646959,-13378.360463174018
C2,4,concept_adjacent,0,-0.11473118644411442,-0.09187250442671814,-0.3736052146344692
C2,4,concept_adjacent,8,-0.21441981179639696,-0.8967231154014007,-659.1181673573868
C2,4,concept_adjacent,16,-0.23350276181474328,-0.9522108394794774,-1308.496688810247
C2,4,concept_adjacent,27,-0.38690500691533086,-0.9859485244581143,-13490.274269796182
C2,4,weakly_adjacent,0,-0.1203654691306292,-0.08760470973361563,-0.35095014052074736
C2,4,weakly_adjacent,8,-0.21784614689880982,-0.9030105772640078,-665.5712851614127
C2,4,weakly_adjacent,16,-0.23957376750186085,-0.9537540600253217,-1330.7827296994908
C2,4,weakly_adjacent,27,-0.3897081988677382,-0.9860208344414816,-13476.85339739953
C2,4,negated,0,-0.12465056655491935,-0.10362443468886212,-0.42148964142511913
C2,4,negated,8,-0.21189233389100992,-0.9026975608236125,-648.2968859132602
C2,4,negated,16,-0.23287135033868253,-0.9513797262423346,-1293.671130893416
C2,4,negated,27,-0.3848070750944316,-0.9858347277978268,-13434.2376516585
C2,4,neutral,0,-0.1147554978512926,-0.08583719989233632,-0.34870153619599037
C2,4,neutral,8,-0.21657054357929156,-0.8986849265898627,-651.766914266985
C2,4,neutral,16,-0.24501919399946928,-0.9528281399925682,-1327.8521153987706
C2,4,neutral,27,-0.39092591740190985,-0.9860108515794976,-13430.491982960824
RRDN4-b50,0,explicit,0,0.05574708465486765,0.00905692917686188,0.036023308810606565
RRDN4-b50,0,explicit,8,0.10826400886289775,0.05775817906663448,19.52987986706739
RRDN4-b50,0,explicit,16,0.13856661250814795,-0.8177041521834638,-919.3819146519013
RRDN4-b50,0,explicit,27,-0.007170066225808114,-0.9569879494095513,-7585.85149708945
RRDN4-b50,0,token_adjacent,0,-0.0942753442551475,-0.09229304753298512,-0.41542834902092496
RRDN4-b50,0,token_adjacent,8,-0.02859600068477448,-0.033790652484055134,-15.29717952879741
RRDN4-b50,0,token_adjacent,16,-0.05771884661284275,-0.8450994251622115,-983.9051446856487
RRDN4-b50,0,token_adjacent,27,-0.2889639454334974,-0.9802912437537684,-11152.275514685787
RRDN4-b50,0,concept_adjacent,0,-0.11897579516051338,-0.10799955570833614,-0.4749979322773313
RRDN4-b50,0,concept_adjacent,8,-0.05657131666783243,-0.05495116022718616,-21.813752764209912
RRDN4-b50,0,concept_adjacent,16,-0.08980602982337586,-0.8496265923857068,-999.244052056426
RRDN4-b50,0,concept_adjacent,27,-0.34564064726233484,-0.9830711518496865,-11736.352848442602
RRDN4-b50,0,weakly_adjacent,0,-0.12813607375486755,-0.11796512967109582,-0.5229661235088576
RRDN4-b50,0,weakly_adjacent,8,-0.05906832485110499,-0.05558052105548747,-22.51328449100687
RRDN4-b50,0,weakly_adjacent,16,-0.09483467344078235,-0.8499091682457103,-995.5124311256242
RRDN4-b50,0,weakly_adjacent,27,-0.34555504098534584,-0.9827057990300844,-11754.430042157132
RRDN4-b50,0,negated,0,-0.07567116069840267,-0.07958300235797396,-0.32532895010584684
RRDN4-b50,0,negated,8,-0.033072324722306805,-0.04380866552149815,-15.357621012873269
RRDN4-b50,0,negated,16,-0.06017395837290678,-0.8457794562950605,-994.2160192817922
RRDN4-b50,0,negated,27,-0.3253918190859258,-0.9817467494209402,-10925.328333273206
RRDN4-b50,0,neutral,0,-0.09846378662390634,-0.09362816402698008,-0.39304986102760187
RRDN4-b50,0,neutral,8,-0.04968695358780678,-0.05385478101584818,-20.040194977335503
RRDN4-b50,0,neutral,16,-0.0888723107217811,-0.8503170668480613,-1025.891421318319
RRDN4-b50,0,neutral,27,-0.34207065846771,-0.9827409839436727,-11548.296795037282
RRDN4-b50,1,explicit,0,-0.14546265073120593,-0.17179989321735584,-0.8718627487512381
RRDN4-b50,1,explicit,8,0.029651741364505144,-0.6076994429743164,-208.47804783000757
