model,tier,layer,cosine,causal_similarity,causal_projection
base,negated,16,-0.13366261937306262,-0.9165898043227575,-1209.4282405990796
base,negated,18,-0.08485153978166636,-0.8685744431829531,-1284.5969109310977
base,negated,20,-0.11922713226289489,-0.9106928735257966,-1726.0615351766567
base,negated,22,-0.16233441553660669,-0.9309614912480325,-2770.1235952086504
base,negated,24,-0.2910020922683179,-0.9756536062631315,-5714.55037271112
base,negated,27,-0.37155121870338914,-0.9842050294737743,-13819.325733694423
base,neutral,0,-0.20429079898865893,-0.1449424171269552,-0.6642531478682457
base,neutral,2,-0.04724611839978024,0.6107982365078766,166.7679656983386
base,neutral,4,-0.07061548437341117,0.14347636662481603,52.94270219264893
base,neutral,6,-0.11289789991686121,0.5551112071313518,268.9113454612428
base,neutral,8,-0.042439406152698214,0.6068960092669458,380.459635296112
base,neutral,10,-0.03534409520914778,0.46944591228249416,380.8155030178379
base,neutral,12,-0.08898255802370841,-0.7140492557644208,-725.4283410005067
base,neutral,14,-0.08316152750368928,-0.8014768596411338,-916.1075670576107
base,neutral,16,-0.16488700751215218,-0.9189531211655151,-1239.0641672585139
base,neutral,18,-0.11411767597077414,-0.872186637875947,-1311.6321725821992
base,neutral,20,-0.15187302156933583,-0.9127783444461594,-1776.2985304955673
base,neutral,22,-0.18971616866998375,-0.9266024297578653,-2740.1532247209875
base,neutral,24,-0.310129862613976,-0.975646978518858,-5744.182124517157
base,neutral,27,-0.37999558821320534,-0.9840578847295164,-13800.505176366732
base,_steepness,0,0.39163339950609954,0.3590347036890047,1.6181593894715505
base,_steepness,2,0.30966307169990615,0.14171772471874944,37.711417431839436
base,_steepness,4,0.3617953567707446,0.20807017393982194,38.73799188415821
base,_steepness,6,0.3949404405569658,0.102929571202943,67.12785606891009
base,_steepness,8,0.4133190751093207,0.11171694483530437,54.96813662178846
base,_steepness,10,0.36928023307351393,0.08753312036781064,55.74672519045083
base,_steepness,12,0.37318184029456464,0.0868554765438938,159.2331219474703
base,_steepness,14,0.33679332626139513,0.06487686604230847,184.37789572326074
base,_steepness,16,0.3252818764140829,0.04371794669435303,273.27383799950076
base,_steepness,18,0.3172424824850168,0.050054140672402325,262.93872865033177
base,_steepness,20,0.36109867748455143,0.06389947749741853,549.9370674455515
base,_steepness,22,0.36599769150605427,0.08171709438665054,984.2213385917287
base,_steepness,24,0.4169773848284967,0.14867209465418596,2643.394877895493
base,_steepness,27,0.4807213522633538,0.09519243737502792,6447.645126747643
C1,explicit,0,0.1494487497350201,0.13610657371876245,0.5867943680964091
C1,explicit,2,0.22857685829978436,0.7396230541314904,203.59967271859378
C1,explicit,4,0.25264900624286385,0.32957238506568504,88.41689303020615
C1,explicit,6,0.253423301265575,0.6591811496910079,332.7371195745755
C1,explicit,8,0.3388179158139974,0.6912340854903082,390.7256015088902
C1,explicit,10,0.3079108889587224,0.5482537889663956,394.67922221567625
C1,explicit,12,0.2616661159414798,-0.6093829233884852,-539.3824352529617
C1,explicit,14,0.22965081701055168,-0.7378186183670513,-728.7581466603781
C1,explicit,16,0.14071072856080719,-0.8765674233680667,-956.4676637500609
C1,explicit,18,0.1872281590406783,-0.8231064353001998,-1024.0602061182299
C1,explicit,20,0.1948187780054286,-0.8445997534701312,-1103.638807182112
C1,explicit,22,0.1416820943937637,-0.8557305060043524,-1548.9261655749242
C1,explicit,24,0.10151286281645298,-0.8495951158314429,-2524.097279449693
C1,explicit,27,0.07416921337600797,-0.9267496520242692,-7294.722288347211
C1,token_adjacent,0,-0.07082767880288884,-0.11592264485944473,-0.5238157075039994
C1,token_adjacent,2,0.0025880419730674475,0.6232023954738183,151.01209097517145
